Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,,Date,some
3/12/2022,10,CO,5372,10378773,,,
3/12/2022,10,MA,5473,14353962,,,
3/12/2022,10,CT,0,7342903,,,
3/12/2022,10,FM,0,110131,,,
3/12/2022,10,FL,0,36326088,,,
3/12/2022,10,NY,3335,38097367,,,
3/12/2022,10,AL,2699,6129692,,,
3/12/2022,10,KS,1506,4473659,,,
3/12/2022,10,PA,12704,22213929,,,
3/12/2022,10,WA,0,13942764,,,
3/12/2022,10,OH,7276,17311637,,,
3/12/2022,10,NH,0,2540616,,,
3/12/2022,10,WY,289,734239,,,
3/12/2022,10,MO,0,8703014,,,
3/12/2022,10,GU,0,337594,,,
3/12/2022,10,US,11998,556980091,,,
3/12/2022,10,MP,0,106791,,,
3/12/2022,10,SC,0,7335846,,,
3/12/2022,10,WY,0,734281,,,
3/12/2022,10,MH,0,57853,,,
3/12/2022,10,NV,0,4760150,,,
3/12/2022,10,OK,250,5746496,,,
3/12/2022,10,NJ,1652,16682452,,,
3/12/2022,10,IN,0,9258127,,,
3/12/2022,10,GA,0,14462065,,,
3/12/2022,10,TX,5051,44777465,,,
3/12/2022,10,NH,73697,2540271,,,
3/12/2022,10,WV,0,2647544,,,
3/12/2022,10,ND,0,1065681,,,
3/12/2022,10,OR,0,7486705,,,
3/12/2022,10,AZ,0,11638764,,,
3/12/2022,10,KY,0,6360118,,,
3/11/2022,10,KY,1822,6360118,,,
3/11/2022,10,AZ,2736,11638764,,,
3/11/2022,10,NV,4351,4749728,,,
3/11/2022,10,WV,1039,2646548,,,
3/11/2022,10,ID,730,2380686,,,
3/11/2022,10,CA,42512,72022144,,,
3/11/2022,10,WI,2991,9927645,,,
3/11/2022,10,RI,452,2144329,,,
3/11/2022,10,LA,9404,6099188,,,
3/11/2022,10,WI,4458,9914338,,,
3/11/2022,10,SD,172,1363459,,,
3/11/2022,10,DC,1006,1430552,,,
3/11/2022,10,IN,4329,9247702,,,
3/11/2022,10,MN,2941,9962403,,,
3/11/2022,10,CO,2599,10378889,,,
3/11/2022,10,MO,3863,8699496,,,
3/11/2022,10,NM,2491,3791804,,,
3/11/2022,10,MT,588,1541812,,,
3/11/2022,10,TN,17,9653556,,,
3/11/2022,10,DE,15,1744145,,,
3/11/2022,10,OK,1023,5753235,,,
3/11/2022,10,SD,717,1362541,,,
3/11/2022,10,PR,18514,7012591,,,
3/11/2022,10,DE,760,1743325,,,
3/11/2022,10,PR,4,7012597,,,
3/11/2022,10,UT,29,5080108,,,
3/11/2022,10,NC,7454,16209282,,,
3/11/2022,10,ID,852,2378226,,,
3/11/2022,10,GA,7103,14448702,,,
3/11/2022,10,VA,2802,15971685,,,
3/11/2022,10,IL,-40332,21866352,,,
3/11/2022,10,MH,0,57853,,,
3/11/2022,10,RI,986,2142366,,,
3/11/2022,10,VI,48,140777,,,
3/11/2022,10,MI,5043,15368643,,,
3/11/2022,10,LA,1875,6105117,,,
3/11/2022,10,MN,4242,9953812,,,
3/11/2022,10,TN,4446,9648899,,,
3/11/2022,10,IA,1740,4945989,,,
3/11/2022,10,NE,25,3095197,,,
3/11/2022,10,NC,4669,16228831,,,
3/11/2022,10,HI,20,2819440,,,
3/11/2022,10,AS,0,93864,,,
3/11/2022,10,SC,2963,7331455,,,
3/11/2022,10,ME,72,2716631,,,
3/11/2022,10,TX,32993,44726431,,,
3/11/2022,10,MD,5636,11585506,,,
3/11/2022,10,FM,309,110131,,,
3/11/2022,10,VT,677,1353093,,,
3/11/2022,10,AR,4230,4108828,,,
3/11/2022,10,VT,53,1354300,,,
3/11/2022,10,GU,22,335832,,,
3/11/2022,10,CA,21529,72105754,,,
3/11/2022,10,AS,0,96143,,,
3/11/2022,10,IA,16,4947602,,,
3/11/2022,10,PW,62,46792,,,
3/11/2022,10,MA,77,14354045,,,
3/11/2022,10,MD,5225,11594451,,,
3/11/2022,10,PW,0,46792,,,
3/11/2022,10,AK,484,1106583,,,
3/11/2022,10,WA,6626,13935772,,,
3/11/2022,10,KY,6353,6353688,,,
3/11/2022,10,IL,4204,21908184,,,
3/11/2022,10,MS,2016,3780616,,,
3/11/2022,10,OR,21,7486705,,,
3/11/2022,10,FM,0,110131,,,
3/11/2022,10,CT,2090,7342903,,,
3/11/2022,10,MA,5956,14348489,,,
3/11/2022,10,VI,69,140852,,,
3/11/2022,10,OH,3546,17318408,,,
3/11/2022,10,AR,938,4112376,,,
3/11/2022,10,NJ,2928,16665159,,,
3/11/2022,10,PA,145,22214070,,,
3/11/2022,10,AL,1392,6130617,,,
3/11/2022,10,MT,37,1542353,,,
3/11/2022,10,HI,492,2822725,,,
3/11/2022,10,NY,16098,38067917,,,
3/11/2022,10,ME,1215,2715458,,,
3/11/2022,10,NE,48,3095113,,,
3/11/2022,10,MI,3209,15380224,,,
3/11/2022,10,NM,1394,3795801,,,
3/11/2022,10,UT,141,5080032,,,
3/11/2022,10,CO,4621,10373401,,,
3/11/2022,10,US,144861,556397627,,,
3/11/2022,10,AK,1,1107149,,,
3/11/2022,10,KS,1064,4475386,,,
3/11/2022,10,AZ,7026,11624404,,,
3/11/2022,10,MP,0,106791,,,
3/11/2022,10,MS,19,3782434,,,
3/11/2022,10,VA,6621,15958233,,,
3/11/2022,10,CT,3249,7331717,,,
3/11/2022,10,ND,138,1065474,,,
3/11/2022,10,FL,13231,36300747,,,
3/11/2022,10,DC,431,1432816,,,
3/11/2022,10,OR,3554,7483133,,,
3/11/2022,10,ND,30,1065681,,,
3/11/2022,10,WV,26,2647544,,,
3/11/2022,10,US,117353,556968093,,,
3/11/2022,10,GU,57,337594,,,
3/11/2022,10,NH,341,2540616,,,
3/11/2022,10,OH,7120,17304361,,,
3/11/2022,10,NY,12899,38094032,,,
3/11/2022,10,FL,3886,36326088,,,
3/11/2022,10,WA,59,13942764,,,
3/11/2022,10,KS,1913,4472153,,,
3/11/2022,10,PA,8817,22201225,,,
3/11/2022,10,AL,2700,6126993,,,
3/11/2022,10,MO,34,8703014,,,
3/11/2022,10,WY,486,733950,,,
3/11/2022,10,NH,-91294,2466574,,,
3/11/2022,10,NV,787,4760150,,,
3/11/2022,10,MH,0,57853,,,
3/11/2022,10,WY,41,734281,,,
3/11/2022,10,SC,1687,7335846,,,
3/11/2022,10,MP,0,106791,,,
3/11/2022,10,TX,16992,44772414,,,
3/11/2022,10,GA,98,14462065,,,
3/11/2022,10,IN,2829,9258127,,,
3/11/2022,10,NJ,6516,16680800,,,
3/11/2022,10,OK,406,5746246,,,
3/10/2022,10,OK,5375,5745840,,,
3/10/2022,10,NJ,5173,16674284,,,
3/10/2022,10,IN,3513,9255298,,,
3/10/2022,10,GA,69,14461967,,,
3/10/2022,10,TX,14394,44755422,,,
3/10/2022,10,AK,721,1106099,,,
3/10/2022,10,PW,58,46792,,,
3/10/2022,10,MD,4134,11589226,,,
3/10/2022,10,DE,887,1742565,,,
3/10/2022,10,IN,4835,9243373,,,
3/10/2022,10,DC,1434,1429546,,,
3/10/2022,10,SD,418,1363287,,,
3/10/2022,10,CA,48424,71979632,,,
3/10/2022,10,ID,846,2379956,,,
3/10/2022,10,AZ,4340,11636028,,,
3/10/2022,10,KY,2353,6358296,,,
3/10/2022,10,WV,1115,2645509,,,
3/10/2022,10,NV,12763,4745377,,,
3/10/2022,10,WI,4441,9909880,,,
3/10/2022,10,WI,3513,9924654,,,
3/10/2022,10,LA,11207,6089784,,,
3/10/2022,10,RI,684,2143877,,,
3/10/2022,10,PR,5,6994077,,,
3/10/2022,10,NM,2245,3789313,,,
3/10/2022,10,MO,3837,8695633,,,
3/10/2022,10,CO,2806,10376290,,,
3/10/2022,10,MN,3369,9959462,,,
3/10/2022,10,SD,646,1361824,,,
3/10/2022,10,OK,2163,5752212,,,
3/10/2022,10,MT,618,1541224,,,
3/10/2022,10,DE,328,1744130,,,
3/10/2022,10,TN,1637,9653539,,,
3/10/2022,10,MA,3197,14353968,,,
3/10/2022,10,TN,5465,9644453,,,
3/10/2022,10,ID,1669,2377374,,,
3/10/2022,10,NC,10627,16201828,,,
3/10/2022,10,UT,17,5080079,,,
3/10/2022,10,PR,83,7012593,,,
3/10/2022,10,MN,4526,9949570,,,
3/10/2022,10,RI,1151,2141380,,,
3/10/2022,10,VI,39,140729,,,
3/10/2022,10,MH,0,57853,,,
3/10/2022,10,IL,16784,21906684,,,
3/10/2022,10,VA,4654,15968883,,,
3/10/2022,10,GA,12104,14441599,,,
3/10/2022,10,LA,2467,6103242,,,
3/10/2022,10,MI,5670,15363600,,,
3/10/2022,10,PW,0,46730,,,
3/10/2022,10,VT,664,1352416,,,
3/10/2022,10,FM,390,109822,,,
3/10/2022,10,AS,1626,93864,,,
3/10/2022,10,HI,927,2819420,,,
3/10/2022,10,NC,4896,16224162,,,
3/10/2022,10,NE,33,3095172,,,
3/10/2022,10,IA,1635,4944249,,,
3/10/2022,10,MD,6143,11579870,,,
3/10/2022,10,TX,32173,44693438,,,
3/10/2022,10,ME,599,2716559,,,
3/10/2022,10,SC,16271,7328492,,,
3/10/2022,10,IA,843,4947586,,,
3/10/2022,10,AS,1107,96143,,,
3/10/2022,10,CA,31359,72084225,,,
3/10/2022,10,GU,504,335810,,,
3/10/2022,10,VT,225,1354247,,,
3/10/2022,10,AR,108,4104598,,,
3/10/2022,10,SC,1400,7334159,,,
3/10/2022,10,WY,192,734240,,,
3/10/2022,10,VA,6440,15951612,,,
3/10/2022,10,MS,901,3782415,,,
3/10/2022,10,NJ,8460,16662231,,,
3/10/2022,10,OR,2007,7486684,,,
3/10/2022,10,MS,1917,3778600,,,
3/10/2022,10,IL,7279,21903980,,,
3/10/2022,10,KY,3537,6347335,,,
3/10/2022,10,WA,7652,13929146,,,
3/10/2022,10,AR,1295,4111438,,,
3/10/2022,10,MA,6908,14342533,,,
3/10/2022,10,CT,2883,7340813,,,
3/10/2022,10,FM,170,110131,,,
3/10/2022,10,OH,5536,17314862,,,
3/10/2022,10,VI,36,140783,,,
3/10/2022,10,MP,42,106791,,,
3/10/2022,10,AZ,7976,11617378,,,
3/10/2022,10,NE,1152,3095065,,,
3/10/2022,10,ME,1135,2714243,,,
3/10/2022,10,NY,16326,38051819,,,
3/10/2022,10,HI,539,2822233,,,
3/10/2022,10,MT,297,1542316,,,
3/10/2022,10,AL,1889,6129225,,,
3/10/2022,10,PA,4052,22213925,,,
3/10/2022,10,KS,902,4474322,,,
3/10/2022,10,UT,27,5079891,,,
3/10/2022,10,NM,1503,3794407,,,
3/10/2022,10,MI,4556,15377015,,,
3/10/2022,10,AK,224,1107148,,,
3/10/2022,10,US,354781,556252766,,,
3/10/2022,10,CO,5205,10368780,,,
3/10/2022,10,MH,0,57853,,,
3/10/2022,10,NV,1732,4759363,,,
3/10/2022,10,FL,9401,36322202,,,
3/10/2022,10,NY,11942,38081133,,,
3/10/2022,10,ND,165,1065651,,,
3/10/2022,10,WV,440,2647518,,,
3/10/2022,10,CT,3619,7328468,,,
3/10/2022,10,OR,3488,7479579,,,
3/10/2022,10,DC,466,1432385,,,
3/10/2022,10,FL,14712,36287516,,,
3/10/2022,10,ND,131,1065336,,,
3/10/2022,10,OH,6926,17297241,,,
3/10/2022,10,NH,463,2540275,,,
3/10/2022,10,GU,91,337537,,,
3/10/2022,10,MP,0,106791,,,
3/10/2022,10,US,163964,556850740,,,
3/10/2022,10,NH,17747,2557868,,,
3/10/2022,10,MO,1319,8702980,,,
3/10/2022,10,AL,4383,6124293,,,
3/10/2022,10,PA,11703,22192408,,,
3/10/2022,10,KS,5673,4470240,,,
3/10/2022,10,WA,2877,13942705,,,
3/10/2022,10,WY,54,733464,,,
3/9/2022,10,WY,201,733410,,,
3/9/2022,10,CA,33431,72052866,,,
3/9/2022,10,AS,887,95036,,,
3/9/2022,10,IA,1502,4946743,,,
3/9/2022,10,OK,2129,5750049,,,
3/9/2022,10,SD,653,1361178,,,
3/9/2022,10,NV,2496,4732614,,,
3/9/2022,10,WV,764,2644394,,,
3/9/2022,10,DE,700,1741678,,,
3/9/2022,10,TX,14997,44741028,,,
3/9/2022,10,GA,2862,14461898,,,
3/9/2022,10,IN,3684,9251785,,,
3/9/2022,10,NJ,4558,16669111,,,
3/9/2022,10,OK,461,5740465,,,
3/9/2022,10,MD,4358,11585092,,,
3/9/2022,10,PW,0,46734,,,
3/9/2022,10,AK,533,1105378,,,
3/9/2022,10,KY,2257,6355943,,,
3/9/2022,10,AZ,4688,11631688,,,
3/9/2022,10,SD,531,1362869,,,
3/9/2022,10,DC,732,1428112,,,
3/9/2022,10,IN,3513,9238538,,,
3/9/2022,10,ID,814,2379110,,,
3/9/2022,10,CA,41719,71931208,,,
3/9/2022,10,MN,3452,9956093,,,
3/9/2022,10,CO,2751,10373484,,,
3/9/2022,10,WI,3660,9921141,,,
3/9/2022,10,WI,4126,9905439,,,
3/9/2022,10,MO,4615,8691796,,,
3/9/2022,10,NM,1707,3787068,,,
3/9/2022,10,RI,792,2143193,,,
3/9/2022,10,LA,2485,6078577,,,
3/9/2022,10,PR,49,6994072,,,
3/9/2022,10,SC,2387,7312221,,,
3/9/2022,10,ME,965,2715960,,,
3/9/2022,10,TX,31296,44661265,,,
3/9/2022,10,MD,5862,11573727,,,
3/9/2022,10,PR,673,7012510,,,
3/9/2022,10,TN,2925,9651902,,,
3/9/2022,10,DE,569,1743802,,,
3/9/2022,10,MT,629,1540606,,,
3/9/2022,10,UT,51,5080062,,,
3/9/2022,10,NC,6689,16191201,,,
3/9/2022,10,ID,782,2375705,,,
3/9/2022,10,MA,5078,14350771,,,
3/9/2022,10,TN,4455,9638988,,,
3/9/2022,10,IA,1564,4942614,,,
3/9/2022,10,NE,52,3095139,,,
3/9/2022,10,NC,5339,16219266,,,
3/9/2022,10,HI,1891,2818493,,,
3/9/2022,10,AS,0,92238,,,
3/9/2022,10,MI,4953,15357930,,,
3/9/2022,10,LA,2395,6100775,,,
3/9/2022,10,MN,4340,9945044,,,
3/9/2022,10,GA,3924,14429495,,,
3/9/2022,10,VA,4913,15964229,,,
3/9/2022,10,IL,19985,21889900,,,
3/9/2022,10,MH,0,57853,,,
3/9/2022,10,VI,227,140690,,,
3/9/2022,10,RI,939,2140229,,,
3/9/2022,10,FM,641,109432,,,
3/9/2022,10,VT,173,1351752,,,
3/9/2022,10,PW,0,46730,,,
3/9/2022,10,WA,5422,13939828,,,
3/9/2022,10,KS,3026,4464567,,,
3/9/2022,10,PA,16309,22180705,,,
3/9/2022,10,AL,2248,6119910,,,
3/9/2022,10,KS,1433,4473420,,,
3/9/2022,10,WA,6583,13921494,,,
3/9/2022,10,KY,3071,6343798,,,
3/9/2022,10,IL,7301,21896701,,,
3/9/2022,10,MS,1535,3776683,,,
3/9/2022,10,WY,156,734048,,,
3/9/2022,10,SC,1631,7332759,,,
3/9/2022,10,AR,1858,4104490,,,
3/9/2022,10,VT,362,1354022,,,
3/9/2022,10,GU,679,335306,,,
3/9/2022,10,OR,2599,7484677,,,
3/9/2022,10,MS,1467,3781514,,,
3/9/2022,10,VA,4868,15945172,,,
3/9/2022,10,NJ,9115,16653771,,,
3/9/2022,10,PA,6215,22209873,,,
3/9/2022,10,AL,1882,6127336,,,
3/9/2022,10,MT,371,1542019,,,
3/9/2022,10,HI,721,2821694,,,
3/9/2022,10,NY,17978,38035493,,,
3/9/2022,10,FM,275,109961,,,
3/9/2022,10,CT,2688,7337930,,,
3/9/2022,10,MA,5509,14335625,,,
3/9/2022,10,AR,1288,4110143,,,
3/9/2022,10,ME,866,2713108,,,
3/9/2022,10,NE,5460,3093913,,,
3/9/2022,10,VI,37,140747,,,
3/9/2022,10,OH,5513,17309326,,,
3/9/2022,10,AZ,5683,11609402,,,
3/9/2022,10,MP,35,106749,,,
3/9/2022,10,MO,2616,8701661,,,
3/9/2022,10,CT,2810,7324849,,,
3/9/2022,10,NV,1644,4757631,,,
3/9/2022,10,MH,423,57853,,,
3/9/2022,10,MI,4619,15372459,,,
3/9/2022,10,NM,1757,3792904,,,
3/9/2022,10,UT,5954,5079864,,,
3/9/2022,10,CO,5804,10363575,,,
3/9/2022,10,US,302567,555897985,,,
3/9/2022,10,AK,399,1106924,,,
3/9/2022,10,WV,658,2647078,,,
3/9/2022,10,ND,131,1065486,,,
3/9/2022,10,NY,10989,38069191,,,
3/9/2022,10,FL,9823,36312801,,,
3/9/2022,10,NH,12595,2540121,,,
3/9/2022,10,NH,584,2539812,,,
3/9/2022,10,OH,6646,17290315,,,
3/9/2022,10,ND,120,1065205,,,
3/9/2022,10,FL,21681,36272804,,,
3/9/2022,10,DC,698,1431919,,,
3/9/2022,10,OR,3212,7476091,,,
3/9/2022,10,US,184517,556686776,,,
3/9/2022,10,MP,35,106791,,,
3/9/2022,10,GU,98,337446,,,
3/8/2022,10,GU,102,337348,,,
3/8/2022,10,MP,32,106756,,,
3/8/2022,10,US,196099,556502259,,,
3/8/2022,10,VT,239,1351579,,,
3/8/2022,10,FM,0,108791,,,
3/8/2022,10,NM,419,3785361,,,
3/8/2022,10,MO,10280,8687181,,,
3/8/2022,10,AK,5140,1104845,,,
3/8/2022,10,PW,0,46734,,,
3/8/2022,10,MD,4782,11580734,,,
3/8/2022,10,SD,955,1360525,,,
3/8/2022,10,OK,2107,5747920,,,
3/8/2022,10,WY,506,733209,,,
3/8/2022,10,IA,1630,4945241,,,
3/8/2022,10,AS,1572,94149,,,
3/8/2022,10,CA,32708,72019435,,,
3/8/2022,10,OK,1069,5740004,,,
3/8/2022,10,NJ,5894,16664553,,,
3/8/2022,10,IN,3661,9248101,,,
3/8/2022,10,GA,4909,14459036,,,
3/8/2022,10,TX,15170,44726031,,,
3/8/2022,10,WV,1865,2643630,,,
3/8/2022,10,NV,1046,4730118,,,
3/8/2022,10,DE,3266,1740978,,,
3/8/2022,10,WI,1325,9901313,,,
3/8/2022,10,IN,1665,9235025,,,
3/8/2022,10,DC,412,1427380,,,
3/8/2022,10,SD,519,1362338,,,
3/8/2022,10,AZ,4608,11627000,,,
3/8/2022,10,KY,2377,6353686,,,
3/8/2022,10,WI,3755,9917481,,,
3/8/2022,10,CA,18515,71889489,,,
3/8/2022,10,ID,935,2378296,,,
3/8/2022,10,CO,3377,10370733,,,
3/8/2022,10,MN,3772,9952641,,,
3/8/2022,10,RI,460,2139290,,,
3/8/2022,10,VI,62,140463,,,
3/8/2022,10,MH,122,57853,,,
3/8/2022,10,IL,6566,21869915,,,
3/8/2022,10,VA,4918,15959316,,,
3/8/2022,10,GA,16471,14425571,,,
3/8/2022,10,MT,1189,1539977,,,
3/8/2022,10,PR,22410,6994023,,,
3/8/2022,10,LA,852,6076092,,,
3/8/2022,10,RI,763,2142401,,,
3/8/2022,10,DE,634,1743233,,,
3/8/2022,10,TN,2938,9648977,,,
3/8/2022,10,MD,4931,11567865,,,
3/8/2022,10,TX,24977,44629969,,,
3/8/2022,10,ME,907,2714995,,,
3/8/2022,10,SC,1251,7309834,,,
3/8/2022,10,PR,1424,7011837,,,
3/8/2022,10,MN,1128,9940704,,,
3/8/2022,10,TN,10179,9634533,,,
3/8/2022,10,ID,282,2374923,,,
3/8/2022,10,NC,2893,16184512,,,
3/8/2022,10,UT,23,5080011,,,
3/8/2022,10,MA,5256,14345693,,,
3/8/2022,10,LA,2449,6098380,,,
3/8/2022,10,MI,5192,15352977,,,
3/8/2022,10,AS,0,92238,,,
3/8/2022,10,HI,306,2816602,,,
3/8/2022,10,NC,5376,16213927,,,
3/8/2022,10,NE,668,3095087,,,
3/8/2022,10,IA,4336,4941050,,,
3/8/2022,10,OR,1221,7472879,,,
3/8/2022,10,DC,650,1431221,,,
3/8/2022,10,FL,9513,36251123,,,
3/8/2022,10,ND,121,1065085,,,
3/8/2022,10,NE,1,3088453,,,
3/8/2022,10,ME,2575,2712242,,,
3/8/2022,10,GU,824,334627,,,
3/8/2022,10,VT,341,1353660,,,
3/8/2022,10,AR,455,4102632,,,
3/8/2022,10,AL,871,6117662,,,
3/8/2022,10,PA,3635,22164396,,,
3/8/2022,10,KS,1703,4461541,,,
3/8/2022,10,WA,5235,13934406,,,
3/8/2022,10,PW,23,46730,,,
3/8/2022,10,SC,2756,7331128,,,
3/8/2022,10,WY,285,733892,,,
3/8/2022,10,KS,1308,4471987,,,
3/8/2022,10,MS,3561,3775148,,,
3/8/2022,10,IL,7897,21889400,,,
3/8/2022,10,KY,4785,6340727,,,
3/8/2022,10,WA,18979,13914911,,,
3/8/2022,10,AR,1388,4108855,,,
3/8/2022,10,VA,4096,15940304,,,
3/8/2022,10,MS,1344,3780047,,,
3/8/2022,10,OR,2644,7482078,,,
3/8/2022,10,MA,17754,14330116,,,
3/8/2022,10,CT,3138,7335242,,,
3/8/2022,10,FM,196,109686,,,
3/8/2022,10,NJ,7545,16644656,,,
3/8/2022,10,NY,11637,38017515,,,
3/8/2022,10,HI,730,2820973,,,
3/8/2022,10,MT,448,1541648,,,
3/8/2022,10,AL,2013,6125454,,,
3/8/2022,10,PA,6839,22203658,,,
3/8/2022,10,OH,2581,17283669,,,
3/8/2022,10,NH,530,2539228,,,
3/8/2022,10,UT,3530,5073910,,,
3/8/2022,10,NM,1707,3791147,,,
3/8/2022,10,MI,4571,15367840,,,
3/8/2022,10,MO,2981,8699045,,,
3/8/2022,10,OH,5279,17303813,,,
